id,hate_text,platform,domain,expression,num_attacked,sen_hate,Q1 Target,Q1 Argument,Q1 Group,Q1 hateful,Q2 Target,Q2 Argument,Q2 Group,Q2 hateful,Q3 Target,Q3 Argument,Q3 Group,Q3 hateful,Q4 Target,Q4 Argument,Q4 Group,Q4 hateful,Q5 Target,Q5 Argument,Q5 Group,Q5 hateful,source
CCL_6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,zhihu,race,2,1,1,黑人,就当没生过喽,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6091,默滚出中国就行了。,zhihu,race,1,1,1,默,滚出中国,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,zhihu,race,0,0,1,五角场附近的女大学生,比起海天盛宴还刺激,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,zhihu,race,1,2,1,艾滋，滥交，犯罪，吸毒贩毒,粘上一样非死即伤,others,hate,默,打击默的生存空间,Racism,hate,,,,,,,,,,,,,CCL2025
CCL_1442,失足妇女是要钱，可以理解。,zhihu,race,2,1,1,失足妇女,要钱，可以理解,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2269,女quan真的是要挑起争端吗？大言不惭的攻击郭嘉的执fa制度，明明厌男，却又想结婚找男人要20万的彩礼，讨厌男人还让它的哥哥帮它寻找yan遇。不理解，实在是不理解。搞女quan是为了压榨男性的剩余价值吗？,tieba,gender,1,1,1,女quan,要挑起争端吗？,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0460,没有世界帮助，非洲还生活在原始社会。,tieba,race,2,1,1,非洲,原始社会,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0638,女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,tieba,gender,1,1,1,女拳,纯属一群变态,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1950,无艾不是真基,tieba,lgbt,2,2,1,基,无艾不是真基,"LGBTQ, others",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1037,第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。,zhihu,race,0,0,1,中国女性,唯一被批评的女性群体,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,tieba,race,2,1,1,你,连乐色都不如了,Racism,hate,黑色的,垃圾材料,Racism,hate,,,,,,,,,,,,,CCL2025
CCL_7090,性取向都扭曲了的人怎么会觉得恶心呢😓,zhihu,lgbt,2,1,1,性取向都扭曲了的人,怎么会觉得恶心呢😓,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3319,精神科医生好久不见我是反同二局的,tieba,lgbt,2,1,1,同,反同二局的,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6035,哈哈雀食，上大人果然都是你这样😄,zhihu,region,2,1,1,上大人,都是你这样,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7526,钓鱼的吧，除非让你全家女性照顾黑人,zhihu,race,2,2,1,你全家女性,照顾黑人,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1558,我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。,zhihu,region,3,1,1,各地,都会因不同的原因被黑,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5267,提啥？我已经不考虑母的,tieba,gender,1,1,1,母的,不考虑,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1266,本来我们才是白种人，被西方丑化才被说成是黄祸,tieba,race,3,1,1,我们,黄祸,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_4743,这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,zhihu,race,1,2,1,女生们,非要找又丑又穷，还要倒贴的垃圾,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2919,这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道,tieba,race,1,2,1,这些个女人,祸害国内男生,"Sexism, Racism",hate,这种女生,谁娶到这种女生谁倒霉,"Sexism, Racism",hate,找黑的女生,不知廉耻,"Sexism, Racism",hate,,,,,,,,,CCL2025
CCL_3084,作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立,zhihu,race,2,1,1,你,别回来也别带黑娃回来就行,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0913,其实没啥的，就是炮友吗，艾滋病毒多点而已,zhihu,race,2,2,1,炮友,艾滋病毒多点而已,others,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6789,结婚纯累赘,tieba,gender,1,1,1,结婚,累赘,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0508,黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。,tieba,race,1,1,1,黑人,没有教化的,Racism,hate,非洲黑人,把讨吃当成好传统，教会小孩讨吃,Racism,hate,,,,,,,,,,,,,CCL2025
CCL_3382,到时候好看的妹妹一个不剩，剩下的全是重型坦克,tieba,gender,1,1,1,剩下的,重型坦克,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5564,害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了,zhihu,region,0,0,1,淮河流域,文化素质整体也不高,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5955,选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄,zhihu,race,1,2,1,找泥搁的女人,不配和正常的国人哺育正常的后代,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5902,直接规定新法，嫁给外国人，自动失去中国国籍。,zhihu,race,1,2,1,外国人,嫁给外国人，自动失去中国国籍,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1660,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,tieba,gender,2,1,1,你,討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0073,我嫌弃他们丑😅,zhihu,race,1,1,1,他们,丑😅,others,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0065,告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,zhihu,race,2,1,1,她们,送给她们夜夜春宵，免费，没艾滋病,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1680,美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语,zhihu,region,2,1,1,吴越人,能打吗？,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_4834,这个索玛女王不是被曝是男的么，专门收国外的钱，然后挑拨国内性别对立。,zhihu,race,0,0,1,索玛女王,专门收国外的钱，然后挑拨国内性别对立,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0357,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,zhihu,region,3,1,1,东北,被黑,Region,hate,河南,被黑,Region,hate,武汉,被黑,Region,hate,广州,被黑,Region,hate,,,,,CCL2025
CCL_4109,这有一条公狗，鸡奸这个鸭子啊,tieba,gender,1,1,1,公狗,鸡奸这个鸭子,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6466,唐山也被骂的好惨😭,zhihu,region,3,1,1,唐山,被骂的好惨😭,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0293,看来非洲真是未来人口增长的主动力。,tieba,race,2,1,1,非洲,真是未来人口增长的主动力,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3513,毕竟国外对这事比较放得开，老外都说中国女留学生比本地女人更开放,zhihu,race,2,2,1,中国女留学生,比本地女人更开放,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2554,犹太人凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化。,zhihu,race,3,1,1,犹太人凯乐奇计划,要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5268,很好，以其人之道还治其人之身，可惜某些人却要倒贴黑,tieba,race,1,1,1,某些人,倒贴黑,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5095,放心吧正常男人不会喜欢黑女的,zhihu,race,1,2,1,黑女,正常男人不会喜欢黑女的,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3373,虽然说美女也有概率感染，但我还是选美女,tieba,lgbt,2,1,1,美女,也有概率感染,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7190,为啥是回民和东北人会被黑啊？,zhihu,region,3,1,1,回民和东北人,被黑,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5691,娶N婚也不能要和黑人处过的啊,zhihu,race,1,2,1,黑人,不能要和黑人处过的,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1966,你这心态不行啊，经济基础决定上层建筑么不是，河南省要是在东南沿海你看谁敢多说一句？🙂北方嘛，说那么多没什么意义，什么好的坏的，你看黑吉辽那一亿人还不是被黑的裤子都穿不上？,zhihu,region,2,1,1,河南省,要是在东南沿海你看谁敢多说一句？,Region,hate,黑吉辽那一亿人,还不是被黑的裤子都穿不上？,Region,hate,,,,,,,,,,,,,CCL2025
CCL_6862,普通女生无罪，有罪的是一开始男扮女装挑起性别对立的键盘侠,tieba,gender,3,1,1,键盘侠,有罪,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_4853,美国现在已经被白左占领了，还好中国不是这样,zhihu,race,1,2,1,美国,已经被白左占领了,"Region, Racism, others",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5359,关键是辨别不出来，要是媚黑在身上纹一个黑桃就方便了,zhihu,race,1,2,1,媚黑,身上纹一个黑桃就方便了,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_4829,你这加一起四舍五入没有黑天津的多,zhihu,region,3,1,1,你这加一起,四舍五入没有黑天津的多,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5138,所以 就更该学日本人，啥都没有，踩雷了损失也不大。,zhihu,race,2,1,1,日本人,啥都没有,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2228,我就是湖南人呀，你们讨厌我们，我们湖南人还讨厌你，你以为你是谁啊！我们湖南人大部分都是好人，热情好客，包括我自己也是。有本事你一辈子别来湖南！！！,zhihu,region,1,1,1,湖南人,你们讨厌我们,Region,hate,你,我们湖南人还讨厌你,Region,hate,,,,,,,,,,,,,CCL2025
CCL_3935,姆蛆好恶心?,tieba,gender,1,1,1,姆蛆,好恶心,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2551,看来女光棍对社会危害性确实非常大,tieba,gender,1,1,1,女光棍,对社会危害性确实非常大,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0466,你去抖音弄个黑人身份，就会有女的私信你,zhihu,race,2,2,1,黑人身份,会有女的私信你,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1378,浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它,tieba,race,1,1,1,黑人,应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3116,各位我错了，不该编故事，小管家威胁我，必须删帖子，取匿并道歉，故事虽然是假的，但是这种现象肯定是常态。我应该戳破女拳的痛处了，得罪人了。小管家中有女拳，匿名编故事骂男人抹黑男人没事。但是匿名编故事说女人的实话就不可以。就必须出来澄清。我错了，暂时退乎，请不要人肉我的单位。我是开玩笑的，惹不起原答案删了，另外一个答案也删了,zhihu,race,0,0,1,女拳,匿名编故事说女人的实话就不可以,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0958,真实，也是情理之中，就像大家在网上呼吁不要歧视艾滋病人一样，生活中遇到真艾滋病人都会自动走开,zhihu,race,3,1,1,艾滋病人,生活中遇到真艾滋病人都会自动走开,others,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2290,黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方,zhihu,region,0,0,1,黑河南、黑北方的总部,广州,Region,hate,核心地带,从上海到广州的整个东南沿海,Region,hate,范围,整个南方,Region,hate,,,,,,,,,CCL2025
CCL_3187,大家把我帖子多宣传，我们开发出可以使黑人的古龙水发臭的东西在黑人聚集地发散开，或者给中国女人们使用或者佩戴，保证黑人们一个都混不下去。,tieba,race,2,1,1,黑人,保证黑人们一个都混不下去,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7049,可见全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪是它们身体内必不可少基因之一,tieba,race,2,1,1,全球所有国际鬼子虫类及其它们后代虫混,激情犯罪,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6312,一般人都怼东北吧😅。有些东北人不是搞不清，他就是直说江浙沪，所以最近被打脸打太厉害硬造了一个江南系，我也不知道是说谁。。。,zhihu,region,3,1,1,一般人,都怼东北,Region,hate,东北人,被打脸打太厉害硬造了一个江南系,Region,hate,,,,,,,,,,,,,CCL2025
CCL_4589,太爽了，打死这帮乱咬人的女拳,tieba,gender,1,1,1,女拳,打死这帮乱咬人的女拳,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0407,B站奇趣蛋双标现场,tieba,gender,2,1,1,B站奇趣蛋,双标,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5565,崇洋媚外本身就是一种种族主义，这种行为不也是看皮肤说事么？他们有啥资格指责别人？,tieba,race,3,1,1,崇洋媚外,看皮肤说事,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7398,所以他是gay，然后跑到反同群里面开盒，是这样吗？还是你们是....,tieba,lgbt,1,1,1,gay,跑到反同群里面开盒,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2939,支持正义劲夫,tieba,gender,0,0,1,正义劲夫,支持,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1778,我靠真能下得去手啊，我去主校区的时候也见过几个又黑又肥又丑看不清脸，可能是我的学校太好了女生都挺保守的，没听说也没看见哪个女生和黑人谈恋爱😅,zhihu,race,1,2,1,黑人,没听说也没看见哪个女生和黑人谈恋爱😅,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0487,左白舔功令人作呕,tieba,race,1,1,1,左白,舔功令人作呕,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5729,其他的都不说，为她去非洲生活点赞，別赖在中国，中国不需要黑族,zhihu,race,1,2,1,非洲,为她去非洲生活点赞,"Sexism, Region",hate,黑族,中国不需要,Racism,hate,,,,,,,,,,,,,CCL2025
CCL_4203,你说的河南人偷井盖才是无关紧要的，都带调侃的味道，但广东是在文化，族群等方面被黑，你别混淆视听，各种社区贴吧用户进去知乎，用户质量素质越来越低，各种地域黑，粤黑会越来越多,zhihu,region,3,1,1,广东,在文化，族群等方面被黑,Region,hate,粤黑,越来越多,Region,hate,,,,,,,,,,,,,CCL2025
CCL_1733,是不是吧里这些nt贴都是阿娜发的？,tieba,gender,1,1,1,阿娜,是不是吧里这些nt贴都是阿娜发的？,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6155,有趣啊，和没道德的不用讲道德是吧，和我们讲什么道德？我学历不高，但知道平权本身是道德高地，被你学历歧视给拉到道德洼地对不对啊,tieba,lgbt,3,1,1,学历歧视,道德洼地,others,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5040,人不能总是被动防守，应该想办法主动进攻……我觉得，咱们应该跟黑人妹子交往。有没有谁知道，哪里能遇到黑人妹子呀？,tieba,race,0,0,1,黑人妹子,咱们应该跟黑人妹子交往,"Racism, Sexism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6403,我们没有说胖，我们只是想说摄像头买小了，用13mm超广角镜头拍摄也没能拍全这位的月佥,tieba,gender,2,1,1,这位,用13mm超广角镜头拍摄也没能拍全月佥,others,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7259,小汪汪没基佬危害大,tieba,lgbt,1,1,1,基佬,小汪汪没基佬危害大,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1788,大家反通的原因是什么捏？①通讯录很多是孃泡，举止钕性化，造成反感②认为通讯录会染艾，就算现在不会以后也会得③通讯录反yxl④通讯录反自然⑤就是觉得通讯录ex如果有一位txl三观举止正常，不蓝交，不反异，不为txl发声，安静活着，8u们还会觉得这人ex吗？,tieba,lgbt,1,2,1,通讯录,很多是孃泡，举止钕性化，造成反感,LGBTQ,hate,通讯录,会染艾，就算现在不会以后也会得,"LGBTQ, others",hate,通讯录,反yxl,LGBTQ,hate,通讯录,反自然,LGBTQ,hate,通讯录,就是觉得通讯录ex,LGBTQ,hate,CCL2025
CCL_6678,我不懂那么多花里胡哨的大道理，我就是单纯的歧视黑人。😓,zhihu,race,1,1,1,黑人,歧视,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1940,我也厌女现在越来越讨厌了,tieba,gender,1,1,1,我,也厌女现在越来越讨厌了,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
